제목,URL,언론사,설명,날짜
의사보다 삼전닉스 취업?…SKY 수시지원 '반도체↑·의대↓',https://www.newsis.com/view/NISX20260910_0003783620,뉴시스,,
"반도체산업 호황으로 자연계열 최상위권 학생들이 삼성전자·SK하이닉스반도체계약학과로 몰리고 있다. 2027학년도 수시모집에서 서울대·연세대·고려대반도체계약학과 지원자 수는 전년 대비 약 5% 늘어난 반면, 의과대학 지원자 수는 약 11% 줄었다. 10일 종로학원이 2027학년도 수시모집...",https://www.newsis.com/view/NISX20260910_0003783620,뉴시스,,
"""서울대 의대 안 갈래요""…최상위권 학생들 '이곳' 몰렸다",https://www.hankyung.com/article/2026091056417,한경,,
의대 대신반도체학과 인기,https://www.newsis.com/view/NISI20260910_0021432139,뉴시스,,
의대 대신반도체학과 인기,https://www.newsis.com/view/NISI20260910_0021432140,뉴시스,,
"반도체호황에 명목성장률 20% 넘어…한은 ""물가·금융불균형 경계""",https://www.mt.co.kr/economy/2026/09/10/2026091007544450703,매경,,
"한은 ""명목 GDP 급등, 수요 측 물가 압력 높일 위험""",https://www.newsis.com/view/NISX20260910_0003783520,뉴시스,,
"""메모리,반도체산업의 왕…전체 매출의 50~55% 차지""",https://www.yna.co.kr/view/AKR20260910014900009?input=1195m,연합뉴스,,
메모리반도체가 인공지능(AI) 붐 속에서반도체산업의 '왕'으로 떠올랐으며 이런 지배력이 당분간 지속할 것이라는 전망이 나왔다. 9일(현지시간) 시장전문매체 마켓워치에 따르면 미국 투자회사 서스퀘하나(SIG)의 메흐디 호세이니 애널리스트는 전날 고객 노트에서 올해 세계반도체산업 매출이...,https://www.yna.co.kr/view/AKR20260910014900009?input=1195m,연합뉴스,,
"“자꾸 의심하는데, 삼전닉스 앞으로 더 좋습니다”…‘반도체의 왕’...",https://www.mk.co.kr/article/12149192,뉴스,,
AI 데이터센터 투자 확대 힘입어 메모리가반도체매출 55% 차지 인공지능(AI) 데이터센터 투자 확대와 공급 부족에 따른 가격 급등으로 메모리반도체가 세계반도체시장의 절반 이상을 차지할 것이라는 전망이 나왔다. 과거 20~30% 수준이던 매출 비중이 50%를 넘어서면서 메모리가 AI 시대반도체산업의...,https://www.mk.co.kr/article/12149192,뉴스,,
"삼성전자, 프랑스 미스트랄 AI와 '반도체특화 AI' 공동개발",https://www.yna.co.kr/view/AKR20260908160800003?input=1195m,연합뉴스,,
체결하고반도체공정에 특화된 자체 AI 모델을 공동 개발하기로 했다. 이번 파트너십 체결은 한·프랑스 양국 정상회담 시점에 맞춰 진행됐다. 양사는 삼성전자 DS(디바이스솔루션) 부문의반도체기술·제조 데이터와 미스트랄 AI의 고효율 AI 모델 기술을 결합해반도체업무 전반의 생산성과 정밀도를...,https://www.yna.co.kr/view/AKR20260908160800003?input=1195m,연합뉴스,,
"NH아문디운용 ""Fn K-반도체ETF, 연초 이후 수익률 181%로 1위""",https://www.yna.co.kr/view/AKR20260910031800008?input=1195m,연합뉴스,,
NH-아문디자산운용은 국내반도체산업의 핵심 종목에 투자하는 'HANARO Fn K-반도체ETF(상장지수펀드)'가 연초 이후 국내 상장 ETF 중 가장 높은 수익률을 기록했다고 10일 밝혔다. 한국거래소에 따르면 지난 9일 기준 이 ETF의 올해 수익률은 181.65%로 집계됐다. 이는 레버리지를 제외한 모든 국내 상장 ETF...,https://www.yna.co.kr/view/AKR20260910031800008?input=1195m,연합뉴스,,
"NH아문디자산운용, 'HANARO Fn K-반도체ETF' 올해 수익률 1위",https://www.newsis.com/view/NISX20260910_0003783963,뉴시스,,
내년반도체성과급 10억 맞나 [김세형칼럼​],https://www.mk.co.kr/article/12149063,뉴스,,
정부 지침도 소급적용 못해반도체이익 늘면 성과급 폭증 타기업 노조 박탈감 키울 우려 파국 막게 노동법 개정해야 노동조합이 영업이익 N%를 달라는 요구를 하면 회사는 협상에 응할 필요가 없다는 지침을 고용노동부가 발표해 삼성전자와 SK하이닉스반도체부문의 성과급 6억~7억원 시대는 금년 한 해...,https://www.mk.co.kr/article/12149063,뉴스,,
"코오롱인더스트리, AI반도체용 핵심소재 증산…김천공장 증설",https://view.asiae.co.kr/article/2026090909274203344,뉴스,,
코오롱인더스트리가 인공지능(AI)과반도체시장 성장에 대응해 저유전 소재인 변성 폴리페닐렌 옥사이드(mPPO) 생산 역량을 확대한다. 코오롱인더스트리는 8일 경북 김천2공장 내 mPPO 생산라인 증설을 완료하고 준공식을 열었다고 9일 밝혔다. mPPO는반도체용 회로기판(PCB)에 쓰이는 동박적층판(CCL)의 전기...,https://view.asiae.co.kr/article/2026090909274203344,뉴스,,
"코오롱인더,반도체기판 소재 mPPO 생산능력 확대",https://www.yna.co.kr/view/AKR20260909048300003?input=1195m,연합뉴스,,
"코오롱인더, mPPO 생산라인 증설…AI·반도체성장 대응",https://www.news1.kr/industry/general-industry/6284577,뉴스,,
'반도체머니' 들썩이는 동탄에 매머드급 신축 '아크메르 동탄' 공급,https://www.hankyung.com/article/2026091055926,한경,,
"'반도체머니'가 쏟아지며 집값이 들썩이고 있는 경기도 화성시 동탄구에 매머드급 신축 주거 시설이 들어선다. 포스코이앤씨는 KB부동산신탁이... 삼성전자 화성캠퍼스를 도보로 이용 가능하고, 삼성전자 기흥캠퍼스 및 SK하이닉스 용인반도체클러스터(조성 중) 등으로의 이동이 편리한 이른바 '셔세권...",https://www.hankyung.com/article/2026091055926,한경,,
